date, G Fund, F Fund, C Fund, S Fund, I Fund
12/23/13,14.2799,15.7745,23.6016,33.3429,25.0762
12/20/13,14.2772,15.7907,23.4731,33.0816,24.8798
12/19/13,14.2764,15.7614,23.3601,32.6338,24.7476
12/18/13,14.2755,15.7817,23.3705,32.8264,24.5506
12/17/13,14.2746,15.8049,22.9868,32.4351,24.3183
12/16/13,14.2737,15.775,23.058,32.4369,24.4241
12/13/13,14.271,15.7742,22.9128,32.1662,24.2578
12/12/13,14.2702,15.7632,22.9146,32.0436,24.3102
12/11/13,14.2693,15.7848,22.9951,31.982,24.6148
12/10/13,14.2684,15.8187,23.256,32.499,24.7252
12/9/13,14.2675,15.7753,23.3298,32.6323,24.7629
12/6/13,14.2649,15.7504,23.2864,32.6068,24.6405
12/5/13,14.264,15.7479,23.0254,32.3951,24.4965
12/4/13,14.2631,15.7564,23.1249,32.3842,24.5732
12/3/13,14.2622,15.8041,23.1488,32.3988,24.8372
12/2/13,14.2613,15.7918,23.2217,32.5363,25.0086
11/29/13,14.2597,15.8301,23.2839,32.7103,25.1848
11/27/13,14.2571,15.8287,23.3012,32.7195,25.0291
11/26/13,14.2563,15.8528,23.2382,32.5837,24.9941
11/25/13,14.2555,15.826,23.2322,32.413,25.0534
11/22/13,14.253,15.8188,23.2607,32.4699,24.9771
11/21/13,14.2522,15.7993,23.1429,32.3226,24.8808
11/20/13,14.2514,15.7906,22.9549,31.8648,24.9552
11/19/13,14.2505,15.8341,23.0374,31.9384,25.0208
11/18/13,14.2497,15.8592,23.0801,32.1442,25.1713
11/15/13,14.2472,15.8251,23.1644,32.4607,24.9807
11/14/13,14.2464,15.8184,23.067,32.3187,24.8163
11/13/13,14.2456,15.7798,22.9517,32.2437,24.7425
11/12/13,14.2447,15.7457,22.7608,31.8906,24.7138
11/8/13,14.2414,15.758,22.7964,31.8233,24.696
11/7/13,14.2406,15.8488,22.4944,31.3446,24.6995
11/6/13,14.2398,15.827,22.7894,31.917,24.9446
11/5/13,14.2389,15.8123,22.6801,32.0278,24.7635
11/4/13,14.2381,15.8554,22.7415,32.149,24.8282
11/1/13,14.2356,15.8386,22.6602,31.8829,24.7306
10/31/13,14.2347,15.8861,22.5946,31.9145,24.9984
10/30/13,14.2338,15.8873,22.6801,31.9991,25.1991
10/29/13,14.233,15.8955,22.7891,32.3275,25.1281
10/28/13,14.2321,15.8938,22.6612,32.2376,25.1557
10/25/13,14.2294,15.8941,22.6307,32.2971,25.0997
10/24/13,14.2285,15.8804,22.5319,32.2747,25.2342
10/23/13,14.2277,15.9021,22.4582,32.078,25.1117
10/22/13,14.2268,15.8875,22.5645,32.2562,25.2659
10/21/13,14.2259,15.8239,22.4355,32.1291,25.0418
10/18/13,14.2232,15.8342,22.433,32.1634,24.9901
10/17/13,14.2223,15.8332,22.2867,31.8727,24.7962
10/16/13,14.2215,15.7691,22.1361,31.5707,24.5739
10/15/13,14.2206,15.7256,21.8319,31.1611,24.4267
10/11/13,14.217,15.7449,21.8977,31.2732,24.3178
10/10/13,14.2161,15.7346,21.7607,30.9514,24.2489
10/9/13,14.2153,15.742,21.2925,30.2329,23.8152
10/8/13,14.2144,15.7489,21.2783,30.3752,23.7969
10/7/13,14.2135,15.7515,21.5369,30.9489,24.0086
10/4/13,14.2109,15.7402,21.7219,31.2862,24.1636
10/3/13,14.21,15.763,21.5688,31.0472,24.2139
10/2/13,14.2091,15.7482,21.7639,31.3502,24.2254
10/1/13,14.2083,15.731,21.7746,31.4273,24.2874
9/30/13,14.2073,15.7462,21.6001,31.0038,24.1817
9/27/13,14.2045,15.7483,21.7302,31.0512,24.4161
9/26/13,14.2036,15.7331,21.8178,31.1544,24.3676
9/25/13,14.2027,15.7554,21.7377,30.9792,24.3312
9/24/13,14.2018,15.7294,21.797,30.9533,24.3179
9/23/13,14.2009,15.6834,21.8511,30.87,24.3333
9/20/13,14.1981,15.6652,21.9546,30.9864,24.3821
9/19/13,14.1972,15.6548,22.1142,31.1603,24.4883
9/18/13,14.1962,15.6722,22.1513,31.1846,24.5932
9/17/13,14.1953,15.5565,21.8847,30.8762,23.8858
9/16/13,14.1944,15.5392,21.7922,30.622,24.0077
9/13/13,14.1916,15.5101,21.6688,30.5156,23.7196
9/12/13,14.1907,15.5038,21.61,30.417,23.7673
9/11/13,14.1898,15.4942,21.6769,30.5591,23.749
9/10/13,14.1888,15.4614,21.6079,30.5168,23.6103
9/9/13,14.1879,15.503,21.4499,30.2416,23.3388
9/6/13,14.1851,15.4556,21.2365,29.7914,23.1468
9/5/13,14.1842,15.4188,21.2326,29.7445,22.9999
9/4/13,14.1833,15.4923,21.2065,29.6538,23.006
9/3/13,14.1824,15.5281,21.0306,29.391,22.8745
8/30/13,14.1799,15.5919,20.9421,29.2781,22.5132
8/29/13,14.1782,15.585,21.007,29.6353,22.7077
8/28/13,14.1774,15.5562,20.9627,29.4239,22.7453
8/27/13,14.1766,15.6013,20.9012,29.3335,22.8012
8/26/13,14.1757,15.5456,21.2383,29.9761,23.2234
8/23/13,14.1732,15.5191,21.3242,29.9541,23.2613
8/22/13,14.1724,15.4564,21.237,29.8713,23.1337
8/21/13,14.1716,15.4857,21.055,29.5001,22.9705
8/20/13,14.1708,15.5148,21.1767,29.672,23.163
8/19/13,14.1699,15.4689,21.0952,29.2916,23.3179
8/16/13,14.1674,15.5125,21.2186,29.5558,23.3842
8/15/13,14.1666,15.5669,21.2877,29.6474,23.2686
8/14/13,14.1658,15.6077,21.5928,30.1561,23.5328
8/13/13,14.165,15.6044,21.7008,30.3036,23.3659
8/12/13,14.1642,15.6773,21.6359,30.3563,23.3245
8/9/13,14.1617,15.6916,21.6598,30.2904,23.4017
8/8/13,14.1608,15.6875,21.7335,30.2936,23.3406
8/7/13,14.16,15.6704,21.6446,30.1213,23.1861
8/6/13,14.1592,15.6463,21.7203,30.3155,23.358
8/5/13,14.1584,15.6498,21.8444,30.6349,23.2458
8/2/13,14.1559,15.6698,21.8745,30.6018,23.3213
8/1/13,14.155,15.5794,21.8381,30.6012,23.0397
7/31/13,14.1542,15.6666,21.5656,30.1094,22.8109
7/30/13,14.1534,15.6565,21.5656,30.0286,22.8794
7/29/13,14.1526,15.6665,21.5566,29.915,22.8216
7/26/13,14.1501,15.6802,21.6359,30.0691,22.995
7/25/13,14.1493,15.6446,21.6178,30.1635,23.0586
7/24/13,14.1484,15.6571,21.5626,29.9398,23.1951
7/23/13,14.1476,15.7064,21.6446,30.1554,23.1205
7/22/13,14.1468,15.7228,21.6845,30.1888,23.102
7/19/13,14.1443,15.7088,21.6404,30.093,22.9247
7/18/13,14.1435,15.6695,21.6043,30.0754,22.8978
7/17/13,14.1427,15.694,21.4941,29.8543,22.7829
7/16/13,14.1419,15.6629,21.4323,29.7211,22.7664
7/15/13,14.141,15.6418,21.5119,29.8945,22.6649
7/12/13,14.1385,15.5998,21.4817,29.7722,22.6241
7/11/13,14.1377,15.617,21.416,29.6569,22.7821
7/10/13,14.1369,15.5342,21.1272,29.2705,22.2541
7/9/13,14.1361,15.5707,21.1216,29.2279,22.0947
7/8/13,14.1353,15.5465,20.9698,28.9634,21.9299
7/5/13,14.1328,15.48,20.854,28.8782,21.7919
7/3/13,14.1311,15.6386,20.6431,28.5196,21.7506
7/2/13,14.1303,15.6645,20.6259,28.4938,21.9317
7/1/13,14.1295,15.6513,20.6325,28.5244,21.8917
6/28/13,14.1288,15.6462,20.5193,28.1703,21.6654
6/27/13,14.1268,15.6224,20.6074,28.2223,21.7748
6/26/13,14.1261,15.5639,20.4786,27.8055,21.4513
6/25/13,14.1254,15.5228,20.2802,27.6079,21.3982
6/24/13,14.1248,15.5491,20.0872,27.2766,21.129
6/21/13,14.1227,15.5882,20.3341,27.61,21.4822
6/20/13,14.122,15.6588,20.2802,27.6255,21.6296
6/19/13,14.1214,15.7568,20.7971,28.3747,22.2423
6/18/13,14.1207,15.8518,21.0888,28.7529,22.6663
6/17/13,14.12,15.8531,20.9255,28.4839,22.5632
6/14/13,14.118,15.8756,20.7677,28.3273,22.3198
6/13/13,14.1173,15.8311,20.8909,28.4576,22.4394
6/12/13,14.1166,15.7905,20.5833,27.9698,22.1573
6/11/13,14.116,15.8174,20.7525,28.2279,22.3056
6/10/13,14.1153,15.8127,20.965,28.56,22.4579
6/7/13,14.1133,15.8381,20.9705,28.4907,22.3621
6/6/13,14.1126,15.8909,20.7049,28.2157,22.1785
6/5/13,14.1119,15.8748,20.5277,27.8825,22.1523
6/4/13,14.1112,15.8691,20.8094,28.273,22.541
6/3/13,14.1106,15.8946,20.9233,28.4748,22.3463
5/31/13,14.109,15.8887,20.7981,28.4532,22.2837
5/30/13,14.1084,15.9141,21.0999,28.7475,22.7389
5/29/13,14.1079,15.9166,21.0192,28.5511,22.7787
5/28/13,14.1074,15.9155,21.1645,28.8109,22.8437
5/24/13,14.1052,15.9967,21.0315,28.5434,22.858
5/23/13,14.1047,15.9944,21.0425,28.6007,22.8609
5/22/13,14.1042,15.993,21.1013,28.5993,23.4728
5/21/13,14.1037,16.0413,21.2744,29.0632,23.482
5/20/13,14.1031,16.025,21.2374,29.0245,23.4715
5/17/13,14.1015,16.0308,21.2517,28.9974,23.2382
5/16/13,14.101,16.0879,21.0349,28.7132,23.2116
5/15/13,14.1005,16.0377,21.1396,28.8524,23.3032
5/14/13,14.1,16.0346,21.0257,28.7513,23.2384
5/13/13,14.0994,16.053,20.8101,28.4225,23.2096
5/10/13,14.0978,16.0631,20.8071,28.4592,23.1338
5/9/13,14.0973,16.1177,20.7175,28.252,23.243
5/8/13,14.0968,16.1273,20.7844,28.3675,23.3955
5/7/13,14.0962,16.1117,20.6897,28.2455,23.1069
5/6/13,14.0957,16.1186,20.581,28.0432,23.0835
5/3/13,14.0941,16.1347,20.5415,27.8812,23.132
5/2/13,14.0936,16.1998,20.3252,27.5403,22.7995
5/1/13,14.0931,16.1976,20.1342,27.2041,22.9565
4/30/13,14.0925,16.1764,20.3223,27.7013,23.0002
4/29/13,14.0919,16.1801,20.2717,27.5229,22.8434
4/26/13,14.0902,16.1787,20.1266,27.3252,22.6635
4/25/13,14.0896,16.1493,20.1631,27.4425,22.6338
4/24/13,14.0891,16.1555,20.0814,27.2627,22.4629
4/23/13,14.0885,16.1521,20.0786,27.1539,22.2314
4/22/13,14.0879,16.1513,19.8714,26.7936,21.9072
4/19/13,14.0862,16.1433,19.7788,26.7127,21.8598
4/18/13,14.0856,16.1524,19.6045,26.3789,21.8047
4/17/13,14.0851,16.1421,19.7364,26.5409,21.8895
4/16/13,14.0845,16.1339,20.0232,26.9669,22.2827
4/15/13,14.0839,16.1444,19.7404,26.5164,21.9881
4/12/13,14.0822,16.1299,20.2047,27.446,22.4036
4/11/13,14.0816,16.0901,20.2619,27.5433,22.5122
4/10/13,14.0811,16.079,20.1884,27.4364,22.2299
4/9/13,14.0805,16.1109,19.944,27.0433,21.8745
